model,title,description,dealer_id,vehicle_id
anHLUP,encryption,"Displ apophyseal fx unsp femr, 7thE",1,12
NBYecv,complexity,"Puncture wound with foreign body of right buttock, sequela",1,5
0rOg4D,empowering,Personal history of malignant neoplasm of kidney,1,16
y9Pc9M,success,"Disp fx of prox 3rd of navic bone of r wrs, 7thK",1,13
Nzyryr,solution,"Laceration of ovary, bilateral",1,12
euViOM,discrete,"Burn of unspecified degree of forehead and cheek, sequela",1,3
xoZ4i0,leverage,Disorder of written expression,1,11
Co1UgD,full-range,"Bucket-hndl tear of lat mensc, current injury, r knee, init",1,5
EYXwvj,Inverse,"Nondisp fx of dist phalanx of r rng fngr, 7thD",1,19
31OU05,concept,"Inj radial artery at wrist and hand level of unsp arm, subs",1,10
QjdzWr,User-friendly,"Reiter's disease, unspecified wrist",1,3
cSbHgf,strategy,"Contusion of bronchus, unspecified, initial encounter",1,5
wPoIs8,4th generation,Unsp soft tissue disorder related to use/pressure oth,1,13
JBCUaX,discrete,"Chronic gout due to renal impairment, left wrist, w tophus",1,3
Y6kYcO,contingency,"Contus/lac left cerebrum w LOC of 30 minutes or less, subs",1,20
MPBGOa,intangible,Other and unspecified polyneuropathies,1,6
fGTN0s,Customizable,"Mature T/NK-cell lymph, unsp, nodes of ing rgn and low limb",1,16
mOSXps,Monitored,"Strain of unsp quadriceps muscle, fascia and tendon, subs",1,17
v1sEby,array,"Toxic effect of venom of wasps, assault, sequela",1,3
bZeFYT,Business-focused,"Milt op involving explosion of aerial bomb, milt, init",1,12
iE8yrk,approach,"Inj great saphenous at lower leg level, unsp leg, subs",1,9
yrbVKt,leading edge,"Poisoning by enzymes, accidental (unintentional), sequela",1,10
p3yzhx,5th generation,"Occup of pk-up/van injured in clsn w hv veh nontraf, init",1,6
vLSECM,scalable,"Displ transverse fx r patella, 7thM",1,15
ljNEdr,capability,Corrosion of first degree of lower back,1,16
MUq54F,help-desk,Military operations involving other destruction of aircraft,1,4
BbvqGg,Open-source,Unsp atherosclerosis of native arteries of extremities,1,12
jNnYTX,zero tolerance,"Acute toxic conjunctivitis, left eye",1,13
MzK86O,explicit,"Pnctr w fb of left great toe w damage to nail, init",1,4
woDK8G,local,"Bilateral femoral hernia, without obstruction or gangrene",1,1
42QASU,disintermediate,"Crushing injury of left ring finger, subsequent encounter",1,5
c7RhIG,homogeneous,"Nondisp fx of greater trochanter of r femr, 7thP",1,10
2H2xtd,Profit-focused,"Oth fracture of shaft of unsp ulna, init for clos fx",1,13
uw8TSk,toolset,"Superficial foreign body of left ear, sequela",1,20
NkwdJg,focus group,Acute myeloid leukemia with 11q23-abnormality,1,18
g3NvKX,Vision-oriented,Burns of 60-69% of body surface w 60-69% third degree burns,1,4
escMh4,Exclusive,"Unspecified sprain of right thumb, subsequent encounter",1,3
dUSrfW,archive,"Pressure ulcer of head, stage 1",1,6
EANvNn,Versatile,Penetrating wound of orbit with or without foreign body,1,9
EyytNQ,Balanced,"Traum rupt of palmar ligmt of finger at MCP/IP jt, sequela",1,10
