model,title,description,dealer_id,vehicle_id
BUZHes,throughput,Other scooter (nonmotorized) accident,10,1
vOoakd,secondary,Early visceral congenital syphilis,10,14
DImgV0,forecast,"Contusion of ovary, bilateral, initial encounter",7,23
hdXsT9,intangible,"Flail joint, left wrist",1,17
DdPbre,synergy,Other specified cestode infections,4,28
gzd0vq,collaboration,"Explosion of oth explosive materials, init encntr",5,1
JDgkIM,homogeneous,"Encounter for initial prescription of contraceptives, unsp",1,12
PnwwCU,conglomeration,Secondary parkinsonism,4,15
aL4b6D,Secured,"Disp fx of lateral condyle of l femr, 7thQ",3,1
VydhLj,24 hour,"Breakdown (mechanical) of int fix of vertebrae, init",1,29
5EmpXp,orchestration,"Oth fx shaft of unsp ulna, 7thH",4,29
diViuR,analyzing,"Unsp open wound of right cheek and TMJ area, sequela",8,24
lHrQKA,bifurcated,"Sltr-haris Type III physeal fx lower end of humer, unsp arm",8,19
b4rvyj,disintermediate,"Other nondisp fx of fourth cervical vertebra, sequela",1,7
yy1fK9,knowledge user,"Subluxation of carpometacarpal joint of left hand, sequela",5,15
7OTZE7,24 hour,"Nondisp fx of greater trochanter of unsp femur, init",9,17
qfw5tS,human-resource,Burn of 3rd deg mu sites of right wrist and hand,8,4
IKYqyT,Distributed,"Unsp injury of unsp msl/tnd at ank/ft level, left foot, init",8,10
kzULLk,contingency,"Fracture of oth skull and facial bones, left side, 7thD",10,21
PLiTyp,service-desk,"Corrosion of left eyelid and periocular area, init encntr",6,2
uUARyB,adapter,"Poisoning by phenothiaz antipsychot/neurolept, undet, subs",2,24
guzrE0,Operative,"Unspecified physeal fx phalanx of unspecified toe, 7thD",6,25
O7vwD9,Quality-focused,"Fall same lev from slip/trip w strike agnst furniture, init",7,27
4mTuSM,hierarchy,Benign neoplasm of right ciliary body,4,28
CxHENB,intranet,Unspecified fracture of ilium,8,30
mSXwzu,full-range,Puncture wound without foreign body of anus,8,9
9nk3yT,neural-net,"Drown due to (nonpowered) inflatable craft overturning, init",5,9
xTNQdX,incremental,"External constriction, right knee, subsequent encounter",10,22
rAoMEl,value-added,"Unsp dislocation of unsp sternoclavicular joint, sequela",4,30
0lBi0S,paradigm,"Inj oth blood vessels at wrs/hnd lv of left arm, sequela",2,29
tgKzFn,functionalities,Necrotizing enterocolitis,4,27
2lDVMj,object-oriented,"Laceration of posterior tibial artery, right leg, subs",5,2
4NKTuD,challenge,Other accident with motorized mobility scooter,10,13
l8iFym,radical,"Mtrcy driver inj in clsn w nonmtr vehicle nontraf, sequela",6,24
7RN73t,User-centric,"Other cataclysmic storms, subsequent encounter",7,13
upNV5U,explicit,"Bursitis, left hand",7,8
oFfnYD,Reverse-engineered,"Nondisp fx of base of 2nd MC bone. l hand, init for opn fx",9,13
cinHeD,Profit-focused,"Sltr-haris Type I physl fx low end unsp fibula, 7thP",2,10
PbOdKb,Multi-channelled,"Drug-induced chronic gout, unspecified site, without tophus",9,9
aTKC0D,Integrated,"Nondisp fx of base of fifth MC bone. l hand, init for opn fx",5,1
lRjr2T,throughput,Unspecified superficial injury of wrist,4,14
IBoxXB,solution-oriented,"Inj to rider of recreatl wtrcrft puld beh oth wtrcrft, sqla",1,7
nvgd2d,Advanced,Corrosion of first degree of unspecified palm,10,23
uBoP4G,Business-focused,"Lac w/o fb of abd wl, periumb rgn w/o penet perit cav, subs",2,7
AnK18T,Versatile,Malignant neoplasm of soft palate,1,6
rOReCS,Configurable,"Calcific tendinitis, ankle and foot",8,28
TUAUOY,Team-oriented,"Blister (nonthermal) of left shoulder, subsequent encounter",5,8
rjS9wc,product,"Sltr-haris Type III physeal fx right metatarsal, 7thB",4,9
p11LLR,approach,"Toxic effect of venom of scorpion, accidental, init",7,27
Lfptw4,intranet,Fracture of cervical vertebra and other parts of neck,1,29
o1hyCq,coherent,Acute cystitis,3,10
gCfQA6,Function-based,"Oth superfic bite of unsp extrn genital organs, female, init",1,20
DsjmNz,global,Hordeolum externum right lower eyelid,9,5
bUJczY,24 hour,Kaposi's sarcoma of other sites,2,12
RZ9xnH,Switchable,"Poisoning by pyrazolone derivatives, undetermined, subs",1,13
3s0TNR,moderator,Autoimmune hepatitis,6,19
WB1Hgf,homogeneous,"Unsp traum displ spondylolysis of 2nd cervcal vert, 7thG",10,10
xMcp15,conglomeration,"Nondisp commnt fx l patella, subs for clos fx w delay heal",9,21
wDHMig,Quality-focused,"Prsn brd/alit hv veh inj in clsn w nonmtr vehicle, sequela",2,16
rGMbae,definition,"Toxic effect of tetrachloroethylene, assault, sequela",5,23
wK8QTm,challenge,"Displ seg fx shaft of ulna, unsp arm, 7thP",3,3
QfPOgO,Enhanced,Partial traumatic amputation of foot at ankle level,6,15
uKCA1o,flexibility,"Blister (nonthermal) of left index finger, sequela",10,11
LFZht6,uniform,"Type 2 diab with prolif diab rtnop with macular edema, r eye",1,22
CBUP0F,challenge,Other specified depressive episodes,2,7
TzRz0T,Devolved,"Osteonecrosis due to previous trauma, left femur",7,24
9vvmDH,Diverse,"Post disp fx of sternal end unsp clavicle, 7thG",5,7
2GhDWs,Phased,"Displ commnt fx shaft of rad, r arm, 7thR",9,21
FQrdOe,Cross-group,"Prsn brd/alit a 3-whl mv injured in clsn w pedl cyc, init",7,21
Qif7vD,Realigned,"Smith's fracture of r radius, init for opn fx type 3A/B/C",3,18
i8qWHE,neural-net,Rheumatoid myopathy with rheumatoid arthritis of unsp knee,6,16
5jN759,complexity,"Pathological fracture, pelvis",9,3
ADlVxG,demand-driven,"Insect bite (nonvenomous) of unsp shoulder, subs encntr",7,18
JDMsYQ,Triple-buffered,"Pasngr in pk-up/van inj pk-up truck, pk-up/van in traf, sqla",5,18
y9SIiI,secondary,Corrosion of first degree of unspecified foot,2,2
xASlQe,Enhanced,"Sltr-haris Type III physeal fx lower end of humer, unsp arm",9,5
P9nux1,secured line,"Commercial fixed-wing aircraft fire injuring occupant, subs",5,12
s1idPj,Synergized,Topical agents,1,26
AqvKVP,Horizontal,Insect bite (nonvenomous) of unspecified ear,2,28
hq94NC,groupware,"Dislocation of unsp interphaln joint of r rng fngr, init",1,6
RjqNGK,24/7,"Nondisp spiral fx shaft of r femr, 7thK",3,27
bZlWzz,encompassing,"Sublux of unsp interphaln joint of r little finger, init",6,26
ERqOM7,asynchronous,"Enteropathic arthropathies, left elbow",4,2
FeyHvp,leverage,"Poisoning by antidotes and chelating agents, self-harm, init",6,16
j7L3op,concept,"Nondisp apophyseal fx r femur, subs for clos fx w nonunion",6,13
qEVufT,Visionary,"Nondisp transverse fx l patella, subs for clos fx w malunion",2,27
S1Egw5,Robust,Necrosis of pulp,3,26
95vHiU,tertiary,"Pathological fracture, pelvis",1,22
OQUlX9,policy,"Laceration of ulnar artery at forearm level, left arm, init",4,2
DrhjZl,access,"Pnctr w/o fb of left lesser toe(s) w/o damage to nail, sqla",9,26
pUAItO,extranet,"Oth injury of vein at forearm level, right arm, subs encntr",2,6
LfBBnP,model,"Disorders of muscle in diseases classd elswhr, unsp forearm",3,28
8tm1Px,Versatile,"Superficial foreign body of left upper arm, init encntr",2,26
rVcB1m,system engine,Inj intrinsic musc/fasc/tend left ring finger at wrs/hnd lv,5,24
pJaDqe,Seamless,"Posterior subluxation of left sternoclavicular joint, init",2,2
9AnhoT,Organic,Injury of ulnar nerve at wrist and hand level of unsp arm,5,19
6LqpFV,customer loyalty,"Insect bite of unsp eyelid and periocular area, subs",2,29
ywA3Ls,moratorium,"Advrs effect of antigonadtr/antiestr/antiandrg, NEC, sequela",3,1
vttKWl,impactful,Local astringents and local detergents,5,23
apz9Q9,systematic,"Other placental disorders, second trimester",8,21
qKRY0S,Extended,"Nondisp fx of neck of fourth MC bone, right hand, sequela",8,26
LcHoEP,Fundamental,"Oth disrd of bone density and structure, right hand",9,3
nBwOGM,3rd generation,"Breakdown (mechanical) of insulin pump, subsequent encounter",6,12
YhYA25,website,"Displacmnt of nervous sys device, implant or graft, subs",6,14
25tBBT,bifurcated,"Disp fx of less tuberosity of unsp humer, 7thK",2,24
hTnbt1,Grass-roots,Malignant neoplasm of long bones of unspecified lower limb,6,15
94mcQG,responsive,Dislocation of distal interphalangeal joint of r idx fngr,8,9
G9782e,contingency,Vertigo of central origin,3,23
Cxmf1Y,productivity,"Inj superficial vein at shldr/up arm, unsp arm, subs",5,9
nh1Lxj,service-desk,"Nondisp transverse fx shaft of humer, unsp arm, 7thB",4,17
LCMCvH,demand-driven,"Nondisp fx of lateral condyle of l tibia, 7thE",7,14
0elxgG,protocol,Toxic liver disease with chronic persistent hepatitis,5,12
SWB0aV,encompassing,"Fracture of tooth (traumatic), subs for fx w delay heal",2,1
ik4jEe,strategy,"External constriction of oral cavity, sequela",2,1
iHJtap,fresh-thinking,"Traum subdr hem w LOC w dth d/t oth cause bef reg consc,init",6,28
wRNstA,Organized,Reactive perforating collagenosis,7,23
W4sdLG,object-oriented,"Unspecified injury of left forearm, initial encounter",10,17
G3nrNo,framework,"Unspecified injury of right eye and orbit, sequela",4,14
IrK9JZ,dedicated,"Torus fx lower end of left tibia, subs for fx w routn heal",7,4
znnmpC,algorithm,Malignant neoplasm of overlapping sites of floor of mouth,7,19
y9RHG0,multi-state,"Unsp fx head of unsp femur, subs for clos fx w delay heal",10,30
cKwmcr,ability,Abnormal results of other endocrine function studies,9,8
9q7Kbo,productivity,"Nondisp trimalleol fx l low leg, 7thM",3,9
YHSor7,Open-source,"Inj unsp blood vessel at shldr/up arm, unsp arm",3,27
