"id","created_at","updated_at","vehicle_id","post_id"
1,"2022-11-16 20:24:16.661+00","2022-11-16 20:24:16.661+00",4,1
2,"2022-11-16 20:24:16.661+00","2022-11-16 20:24:16.661+00",6,2
3,"2022-11-16 20:24:16.662+00","2022-11-16 20:24:16.662+00",1,3
4,"2022-11-16 20:24:16.662+00","2022-11-16 20:24:16.662+00",10,4
5,"2022-11-16 20:24:16.663+00","2022-11-16 20:24:16.663+00",9,5
6,"2022-11-16 20:25:12.424+00","2022-11-16 20:25:12.424+00",5,6
7,"2022-11-16 20:25:30.596+00","2022-11-16 20:25:30.596+00",2,7
8,"2022-11-16 20:25:44.772+00","2022-11-16 20:25:44.772+00",3,8
9,"2022-11-16 20:26:14.11+00","2022-11-16 20:26:14.11+00",18,9
10,"2022-11-16 20:26:21.739+00","2022-11-16 20:26:21.739+00",15,10
11,"2022-11-16 20:26:27.243+00","2022-11-16 20:26:27.243+00",14,11
