"id","price","advance","stock","created_at","updated_at","dealer_id"
1,5000000,50000,4,"2022-11-16 20:24:16.653+00","2022-11-16 20:24:16.653+00",1
2,5000000,50000,4,"2022-11-16 20:24:16.654+00","2022-11-16 20:24:16.654+00",1
3,5000000,50000,4,"2022-11-16 20:24:16.654+00","2022-11-16 20:24:16.654+00",1
4,5000000,50000,4,"2022-11-16 20:24:16.655+00","2022-11-16 20:24:16.655+00",1
5,5000000,50000,4,"2022-11-16 20:24:16.656+00","2022-11-16 20:24:16.656+00",1
6,5000000,50000,4,"2022-11-16 20:25:12.413+00","2022-11-16 20:25:12.413+00",1
7,5000000,50000,4,"2022-11-16 20:25:30.586+00","2022-11-16 20:25:30.586+00",1
8,5000000,50000,4,"2022-11-16 20:25:44.766+00","2022-11-16 20:25:44.766+00",1
9,5000000,50000,4,"2022-11-16 20:26:14.097+00","2022-11-16 20:26:14.097+00",1
10,5000000,50000,4,"2022-11-16 20:26:21.736+00","2022-11-16 20:26:21.736+00",1
11,5000000,50000,4,"2022-11-16 20:26:27.237+00","2022-11-16 20:26:27.237+00",1
