model,title,description,gear_box,dealer_id
5434-DAXL,Malibu,risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci,2,5
3226-TIUQ,Sierra 2500,in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas,7,10
7596-LJLE,Sierra 2500,sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at,5,10
8334-LAYU,Ciera,aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non,1,5
6718-XHYG,Explorer Sport Trac,porttitor pede justo eu massa donec dapibus duis at velit eu,2,5
0924-HFPW,Blazer,vestibulum ante ipsum primis in faucibus orci luctus et ultrices,5,7
3373-MWJU,Grand Marquis,mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris,3,6
1788-KUUW,CL-Class,amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas,1,9
6221-PUVC,Range Rover,lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu,5,10
0228-JZCR,Sparrow,volutpat erat quisque erat eros viverra eget congue eget semper,2,1
6853-FMUH,XK Series,iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla,1,6
5169-IEON,Savana 1500,consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae,4,7
8408-RLOM,Cougar,lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet,4,9
6189-NRZA,Lumina,sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus,2,10
7900-ZFRL,H2,aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a,2,9
8477-OCMP,Sentra,at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt,2,7
9087-QXRE,Colt,tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis,7,4
0851-EPDF,Avalon,augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac,3,4
5796-LWVT,C-Class,vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit,3,10
3202-EZCK,Dakota,sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum,3,3
6022-MPCU,Aspen,duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel,1,10
5122-HRWD,EXP,lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula,7,1
5295-DZHI,7 Series,sit amet diam in magna bibendum imperdiet nullam orci pede venenatis,7,8
6192-ONVO,Voyager,ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium,3,5
5671-PWWV,Firebird,ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede,5,10
3767-YPUR,Escalade ESV,sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque,7,6
0122-HCCC,Savana 1500,curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus,3,3
4773-AQLU,Savana 1500,duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit,4,8
3917-PMKW,A4,iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris,2,10
7697-POAF,F-350 Super Duty,nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a,3,1
